WELL,GGKP,Cluster_kmean_scaled,Cluster_gmm,Cluster_agg,Cluster_result
12,2.4203571428571427,1,2,2,2
13,2.432627118644068,1,1,1,1
14,2.393181818181818,1,2,2,2
15,2.4188034188034186,1,2,2,2
16,2.3871052631578946,1,2,2,2
17,2.3424516129032256,3,4,3,3
18,2.399818181818182,1,2,2,2
19,2.4037058823529414,1,2,2,2
20,2.4132089552238805,1,2,2,2
22,2.3929464285714284,1,2,2,2
23,2.4770779220779224,2,1,1,1
24,2.416103896103896,1,2,2,2
25,2.3935714285714287,1,2,2,2
26,2.409666666666667,1,2,2,2
27,2.4782014388489206,2,1,1,1
28,2.4466539923954373,2,1,1,1
29,2.461707317073171,2,1,1,1
30,2.4414661654135337,2,1,1,1
31,2.4899186991869917,2,1,1,1
33,2.464360902255639,2,1,1,1
34,2.4662773722627738,2,1,1,1
35,2.436791044776119,1,1,1,1
36,2.5558196721311477,4,3,4,4
37,2.458108108108108,2,1,1,1
38,2.421338028169014,1,2,2,2
39,2.405447470817121,1,2,2,2
40,2.4205106382978725,1,2,2,2
41,2.398695652173913,1,2,2,2
42,2.4091147540983604,1,2,2,2
43,2.352085561497326,3,4,3,3
44,2.4047727272727273,1,2,2,2
45,2.3573863636363637,3,4,3,3
46,2.4099999999999997,1,2,2,2
47,2.449082125603865,2,1,1,1
48,2.3631081081081082,3,4,3,3
K-10,2.4622875816993464,2,1,1,1
K-101,2.4281308411214955,1,2,1,1
K-24042,2.430735294117647,1,2,1,1
K-37,2.407181208053691,1,2,2,2
K-44,2.4908333333333337,2,1,1,1
K-66,2.4763571428571427,2,1,1,1
